category,Real Madrid,Atl. Madrid
result,1,0
Ball Possession,65%,35%
Goal Attempts,16,4
Shots on Goal,5,1
Shots off Goal,8,3
Blocked Shots,3,0
Free Kicks,12,18
Corner Kicks,5,6
Offsides,0,1
Goalkeeper Saves,1,4
Fouls,18,11
Yellow Cards,2,2
Total Passes,644,348
Tackles,20,18
Attacks,143,101
Dangerous Attacks,70,37
Ball Possession,66%,34%
Goal Attempts,8,3
Shots on Goal,1,1
Shots off Goal,4,2
Blocked Shots,3,0
Free Kicks,3,9
Corner Kicks,3,3
Offsides,0,1
Goalkeeper Saves,1,1
Fouls,9,2
Total Passes,342,182
Tackles,9,10
Attacks,76,50
Dangerous Attacks,37,23
Ball Possession,64%,36%
Goal Attempts,8,1
Shots on Goal,4,0
Shots off Goal,4,1
Blocked Shots,0,0
Free Kicks,9,9
Corner Kicks,2,3
Offsides,0,0
Goalkeeper Saves,0,3
Fouls,9,9
Yellow Cards,2,2
Total Passes,302,166
Tackles,11,8
Attacks,67,51
Dangerous Attacks,33,14
