category,Real Madrid,Barcelona
result,2,0
Ball Possession,44%,56%
Goal Attempts,13,9
Shots on Goal,5,4
Shots off Goal,7,2
Blocked Shots,1,3
Free Kicks,10,16
Corner Kicks,8,2
Offsides,3,0
Goalkeeper Saves,4,3
Fouls,13,10
Yellow Cards,2,2
Total Passes,492,644
Tackles,19,20
Attacks,110,116
Dangerous Attacks,82,49
Ball Possession,43%,57%
Goal Attempts,5,6
Shots on Goal,1,3
Shots off Goal,4,1
Blocked Shots,0,2
Free Kicks,4,6
Corner Kicks,3,1
Offsides,0,0
Goalkeeper Saves,3,1
Fouls,6,4
Yellow Cards,2,1
Total Passes,281,393
Tackles,7,7
Attacks,56,65
Dangerous Attacks,36,29
Ball Possession,45%,55%
Goal Attempts,8,3
Shots on Goal,4,1
Shots off Goal,3,1
Blocked Shots,1,1
Free Kicks,6,10
Corner Kicks,5,1
Offsides,3,0
Goalkeeper Saves,1,2
Fouls,7,6
Yellow Cards,0,1
Total Passes,211,251
Tackles,12,13
Attacks,54,51
Dangerous Attacks,46,20
