category,Real Madrid,Getafe
result,1,0
Ball Possession,68%,32%
Goal Attempts,8,10
Shots on Goal,4,3
Shots off Goal,2,5
Blocked Shots,2,2
Free Kicks,20,19
Corner Kicks,6,5
Offsides,4,0
Goalkeeper Saves,3,3
Fouls,15,22
Yellow Cards,5,5
Total Passes,580,263
Tackles,11,21
Attacks,112,92
Dangerous Attacks,59,53
Ball Possession,68%,32%
Goal Attempts,5,6
Shots on Goal,3,3
Shots off Goal,1,1
Blocked Shots,1,2
Free Kicks,9,8
Corner Kicks,2,4
Offsides,2,0
Goalkeeper Saves,3,3
Fouls,6,10
Yellow Cards,3,1
Total Passes,289,117
Tackles,3,13
Attacks,62,37
Dangerous Attacks,27,24
Ball Possession,68%,32%
Goal Attempts,3,4
Shots on Goal,1,0
Shots off Goal,1,4
Blocked Shots,1,0
Free Kicks,11,11
Corner Kicks,4,1
Offsides,2,0
Goalkeeper Saves,0,0
Fouls,9,12
Yellow Cards,2,4
Total Passes,291,146
Tackles,8,8
Attacks,50,55
Dangerous Attacks,32,29
