category,Betis,Real Madrid
result,2,1
Ball Possession,43%,57%
Goal Attempts,14,14
Shots on Goal,3,4
Shots off Goal,6,8
Blocked Shots,5,2
Free Kicks,16,8
Corner Kicks,6,2
Offsides,1,6
Goalkeeper Saves,3,1
Fouls,8,11
Yellow Cards,1,1
Total Passes,410,537
Tackles,14,16
Attacks,113,115
Dangerous Attacks,54,70
Ball Possession,45%,55%
Goal Attempts,10,4
Shots on Goal,2,1
Shots off Goal,4,3
Blocked Shots,4,0
Free Kicks,8,2
Corner Kicks,3,0
Offsides,0,4
Goalkeeper Saves,0,1
Fouls,3,4
Total Passes,235,274
Tackles,10,7
Attacks,57,56
Dangerous Attacks,15,26
Ball Possession,41%,59%
Goal Attempts,4,10
Shots on Goal,1,3
Shots off Goal,2,5
Blocked Shots,1,2
Free Kicks,8,6
Corner Kicks,3,2
Offsides,1,2
Goalkeeper Saves,3,0
Fouls,5,7
Yellow Cards,1,1
Total Passes,175,263
Tackles,4,9
Attacks,56,59
Dangerous Attacks,39,44
