category,Real Madrid,Alaves
result,2,0
Ball Possession,71%,29%
Goal Attempts,18,10
Shots on Goal,8,4
Shots off Goal,5,4
Blocked Shots,5,2
Free Kicks,15,10
Corner Kicks,3,2
Offsides,4,0
Goalkeeper Saves,4,6
Fouls,5,17
Yellow Cards,0,1
Total Passes,729,296
Tackles,9,12
Attacks,123,85
Dangerous Attacks,63,21
Ball Possession,76%,24%
Goal Attempts,8,6
Shots on Goal,2,1
Shots off Goal,3,4
Blocked Shots,3,1
Free Kicks,6,6
Corner Kicks,1,1
Offsides,1,0
Goalkeeper Saves,1,1
Fouls,4,7
Total Passes,358,110
Tackles,4,7
Attacks,62,34
Dangerous Attacks,31,13
Ball Possession,66%,34%
Goal Attempts,10,4
Shots on Goal,6,3
Shots off Goal,2,0
Blocked Shots,2,1
Free Kicks,9,4
Corner Kicks,2,1
Offsides,3,0
Goalkeeper Saves,3,5
Fouls,1,10
Yellow Cards,0,1
Total Passes,371,186
Tackles,5,5
Attacks,61,51
Dangerous Attacks,32,8
