category,Real Madrid,Eibar
result,3,1
Ball Possession,56%,44%
Goal Attempts,6,9
Shots on Goal,5,5
Shots off Goal,1,3
Blocked Shots,0,1
Free Kicks,14,13
Corner Kicks,3,3
Offsides,2,2
Goalkeeper Saves,4,2
Fouls,11,12
Yellow Cards,1,1
Total Passes,584,435
Tackles,13,22
Attacks,100,154
Dangerous Attacks,34,51
Ball Possession,55%,45%
Goal Attempts,5,4
Shots on Goal,5,2
Shots off Goal,0,1
Blocked Shots,0,1
Free Kicks,7,5
Corner Kicks,2,1
Offsides,0,0
Goalkeeper Saves,2,2
Fouls,5,7
Total Passes,309,242
Tackles,10,14
Attacks,56,77
Dangerous Attacks,14,25
Ball Possession,57%,43%
Goal Attempts,1,5
Shots on Goal,0,3
Shots off Goal,1,2
Blocked Shots,0,0
Free Kicks,7,8
Corner Kicks,1,2
Offsides,2,2
Goalkeeper Saves,2,0
Fouls,6,5
Yellow Cards,1,1
Total Passes,275,193
Tackles,3,8
Attacks,44,77
Dangerous Attacks,20,26
