category,Real Madrid,Villarreal
result,2,1
Ball Possession,57%,43%
Goal Attempts,12,8
Shots on Goal,7,4
Shots off Goal,4,3
Blocked Shots,1,1
Free Kicks,13,15
Corner Kicks,4,2
Offsides,2,1
Goalkeeper Saves,3,5
Fouls,13,13
Yellow Cards,3,2
Total Passes,555,427
Tackles,13,11
Attacks,122,90
Dangerous Attacks,46,22
Ball Possession,61%,39%
Goal Attempts,7,1
Shots on Goal,4,0
Shots off Goal,3,0
Blocked Shots,0,1
Free Kicks,6,7
Corner Kicks,3,0
Offsides,2,0
Goalkeeper Saves,0,3
Fouls,5,6
Yellow Cards,0,1
Total Passes,337,221
Tackles,8,8
Attacks,66,49
Dangerous Attacks,22,14
Ball Possession,53%,47%
Goal Attempts,5,7
Shots on Goal,3,4
Shots off Goal,1,3
Blocked Shots,1,0
Free Kicks,7,8
Corner Kicks,1,2
Offsides,0,1
Goalkeeper Saves,3,2
Fouls,8,7
Yellow Cards,3,1
Total Passes,218,206
Tackles,5,3
Attacks,56,41
Dangerous Attacks,24,8
