category,Leganes,Real Madrid
result,2,2
Ball Possession,35%,65%
Goal Attempts,15,7
Shots on Goal,7,4
Shots off Goal,4,3
Blocked Shots,4,0
Free Kicks,11,10
Corner Kicks,5,2
Offsides,2,0
Goalkeeper Saves,2,5
Fouls,9,11
Yellow Cards,4,1
Total Passes,330,650
Tackles,19,22
Attacks,108,128
Dangerous Attacks,54,54
Ball Possession,33%,67%
Goal Attempts,6,4
Shots on Goal,3,2
Shots off Goal,1,2
Blocked Shots,2,0
Free Kicks,6,5
Corner Kicks,2,1
Offsides,0,0
Goalkeeper Saves,1,2
Fouls,5,6
Yellow Cards,2,0
Total Passes,162,336
Tackles,11,8
Attacks,53,73
Dangerous Attacks,19,26
Ball Possession,37%,63%
Goal Attempts,9,3
Shots on Goal,4,2
Shots off Goal,3,1
Blocked Shots,2,0
Free Kicks,5,5
Corner Kicks,3,1
Offsides,2,0
Goalkeeper Saves,1,3
Fouls,4,5
Yellow Cards,2,1
Total Passes,168,314
Tackles,8,14
Attacks,55,55
Dangerous Attacks,35,28
