category,Real Sociedad,Real Madrid
result,1,2
Ball Possession,51%,49%
Goal Attempts,10,10
Shots on Goal,2,6
Shots off Goal,5,4
Blocked Shots,3,0
Free Kicks,18,17
Corner Kicks,4,1
Offsides,2,3
Goalkeeper Saves,4,1
Fouls,16,15
Yellow Cards,4,2
Total Passes,562,530
Tackles,14,19
Attacks,123,90
Dangerous Attacks,38,34
Ball Possession,42%,58%
Goal Attempts,2,6
Shots on Goal,0,3
Shots off Goal,2,3
Blocked Shots,0,0
Free Kicks,9,11
Corner Kicks,1,1
Offsides,1,2
Goalkeeper Saves,3,0
Fouls,10,7
Yellow Cards,2,1
Total Passes,239,329
Tackles,7,6
Attacks,55,60
Dangerous Attacks,11,21
Ball Possession,60%,40%
Goal Attempts,8,4
Shots on Goal,2,3
Shots off Goal,3,1
Blocked Shots,3,0
Free Kicks,9,6
Corner Kicks,3,0
Offsides,1,1
Goalkeeper Saves,1,1
Fouls,6,8
Yellow Cards,2,1
Total Passes,323,201
Tackles,7,13
Attacks,68,30
Dangerous Attacks,27,13
