category,Levante,Real Madrid
result,1,0
Ball Possession,37%,63%
Goal Attempts,8,19
Shots on Goal,2,7
Shots off Goal,3,8
Blocked Shots,3,4
Free Kicks,15,16
Corner Kicks,3,7
Offsides,0,5
Goalkeeper Saves,7,1
Fouls,16,10
Yellow Cards,1,2
Total Passes,354,587
Tackles,12,11
Attacks,87,130
Dangerous Attacks,44,88
Ball Possession,41%,59%
Goal Attempts,2,11
Shots on Goal,0,5
Shots off Goal,2,4
Blocked Shots,0,2
Free Kicks,8,8
Corner Kicks,0,3
Offsides,0,2
Goalkeeper Saves,5,0
Fouls,8,6
Yellow Cards,1,1
Total Passes,213,307
Tackles,5,6
Attacks,42,57
Dangerous Attacks,23,44
Ball Possession,33%,67%
Goal Attempts,6,8
Shots on Goal,2,2
Shots off Goal,1,4
Blocked Shots,3,2
Free Kicks,7,8
Corner Kicks,3,4
Offsides,0,3
Goalkeeper Saves,2,1
Fouls,8,4
Yellow Cards,0,1
Total Passes,141,280
Tackles,7,5
Attacks,45,73
Dangerous Attacks,21,44
