category,Espanyol,Real Madrid
result,0,1
Ball Possession,31%,69%
Goal Attempts,8,14
Shots on Goal,5,6
Shots off Goal,2,5
Blocked Shots,1,3
Free Kicks,16,20
Corner Kicks,0,5
Offsides,0,3
Goalkeeper Saves,5,5
Fouls,19,13
Yellow Cards,1,1
Total Passes,324,710
Tackles,11,14
Attacks,44,91
Dangerous Attacks,25,63
Ball Possession,28%,72%
Goal Attempts,4,8
Shots on Goal,2,3
Shots off Goal,1,4
Blocked Shots,1,1
Free Kicks,6,11
Corner Kicks,0,4
Offsides,0,2
Goalkeeper Saves,2,2
Fouls,9,4
Total Passes,152,350
Tackles,4,5
Attacks,15,38
Dangerous Attacks,8,29
Ball Possession,35%,65%
Goal Attempts,4,6
Shots on Goal,3,3
Shots off Goal,1,1
Blocked Shots,0,2
Free Kicks,10,9
Corner Kicks,0,1
Offsides,0,1
Goalkeeper Saves,3,3
Fouls,10,9
Yellow Cards,1,1
Total Passes,172,360
Tackles,7,9
Attacks,29,53
Dangerous Attacks,17,34
